number	title	pageid	namespace	length	touched
1	Liste_von_Abkürzungen_(Computer)	54		65822	20230520211835
2	Alan_Turing	121		58111	20230828220446
3	American_Standard_Code_for_Information_Interchange	124		30748	20230524190337
4	Architektur_(Informatik)	183		4069	20230219085002
5	Apple	193		148392	20230908212120
6	Arbeitsspeicher	197		27840	20230906155833
7	Arithmetisches_Kodieren	216		17971	20230324210004
8	Aldi	267		119631	20230906214520
9	Ada_Lovelace	294		36335	20230910173754
10	Akustikkoppler	327		5539	20230819125801
11	Awk	340		9320	20221021164741
12	Algorithmus	342		31854	20230904192509
13	AutoCAD	348		31911	20230724091417
14	Anwendungssoftware	350		6056	20220515103436
15	Assemblersprache	360		22880	20230705124119
16	Analog-Digital-Umsetzer	368		36494	20221114132804
17	Amtliches_Verzeichnis_der_Ortsnetzkennzahlen	437		3589	20210804131539
18	Ada_(Programmiersprache)	449		15270	20230831100755
19	Betriebssystem	478		53166	20230911083231
20	Liste_von_Videofachbegriffen	484		6210	20210729044001
21	Benoît_Mandelbrot	503		23064	20230908062311
22	Brian_Eno	529		17057	20230819073154
23	BASIC	530		14577	20230817180208
24	BeOS	571		25473	20230722202301
25	Björk	586		34626	20230708064228
26	Bewusstsein	660		63308	20230906100058
27	Breitband-Internetzugang	684		24726	20230721171355
28	Bit	686		9274	20230611131445
29	Bildschirmtext	704		18205	20230422030108
30	Booten	708		11316	20230529095910
31	BIOS_(IBM_PC)	727		29900	20230630072926
32	Byte	728		32205	20230910192709
33	Bootloader	729		24381	20230802125135
34	Bootfähiges_Medium	730		10637	20230718064207
35	Berechenbarkeitstheorie	732		8440	20211227185523
36	Berechenbarkeit	733		8021	20220102210140
37	B_(Programmiersprache)	765		3415	20230828075857
38	Computer	782		33391	20230611134311
39	Cache	783		42930	20230909093550
40	Hauptprozessor	784		128	20221229221348
41	Chat	817		14183	20230629221548
42	Computerlinguistik	819		21231	20230404075049
43	Computersicherheit	831		106	20221210101557
44	Computerspiel	837		66424	20230819210133
45	Curl_(Programmiersprache)	850		1692	20230523203535
46	Charles_Babbage	851		24272	20230822061809
47	Cascading_Style_Sheets	859		43269	20230830060922
48	CD-ROM	875		19286	20230620225250
49	C_(Programmiersprache)	909		44015	20230623151517
50	Computerprogramm	919		30410	20230624173622
51	C++	929		55885	20230613071922
52	Sprachelemente_von_C-Sharp	930		76498	20230318152817
53	Commodore_64	932		118293	20230511092801
54	Rechnergestützte_Entwicklung	941		2003	20230209092616
55	Compiler	968		44413	20230815090940
56	Compact_Disc	983		52900	20230711182822
57	Chomsky-Hierarchie	992		29738	20230617182502
58	Datenkompression	998		31299	20230508090812
59	Welt_am_Draht	1001		17157	20230731065200
60	Dodekaeder	1057		35379	20230713164858
61	Digitale_Revolution	1076		136221	20230813123733
62	Debian	1077		68230	20230831055348
63	Dynamisches_HTML	1080		4256	20230619153656
64	Document_Object_Model	1082		11571	20230710143809
65	Domain_Name_System	1083		56992	20230727182337
66	Digitaldruck	1102		81069	20230909134819
67	DVCAM	1103		1620	20170201121327
68	Differenzmaschine	1137		57843	20230525171107
69	Dynamische_Optimierung	1158		2117	20171122214714
70	Datenfernübertragung	1161		5678	20230621085912
71	Datei	1178		19253	20230626144308
72	Dateimanager	1179		5809	20221021155750
73	Dateisystem	1181		34625	20230723085821
74	Digitalfotografie	1186		43231	20230903192429
75	Digitaltechnik	1187		12482	20230727133134
76	Digital-Analog-Umsetzer	1191		19672	20230825052541
77	Digitale_Signalverarbeitung	1198		21392	20230702101933
78	Donald_E._Knuth	1208		21290	20230828183629
79	Evolutionsstrategie	1238		505	20130820113340
80	E-Mail	1263		61042	20230817120755
81	Echelon	1273		31265	20230104092757
82	Elektronische_Musik	1284		37845	20230826093701
